cutoff,accuracy,auc,std_acc,std_auc
68,0.64395,0.6985,0.02483519361924251,0.023227705779725057
67,0.6426000000000001,0.6948000000000001,0.024756498349449915,0.025276575384293926
70,0.636,0.69425,0.0291872358547723,0.024367525844645625
72,0.63405,0.6919,0.032357338710423234,0.023940496411333063
69,0.6374,0.6917500000000001,0.025419428955447704,0.02397559065734189
65,0.6412,0.6910999999999999,0.021610426333503702,0.025289690014957292
66,0.63425,0.6910999999999999,0.026552579416776276,0.023679660381632852
71,0.6334500000000001,0.68665,0.023152753615930874,0.020739677204004756
55,0.6306499999999999,0.68385,0.029691882640493557,0.025005841422818725
60,0.6245,0.6790499999999999,0.0226889725127475,0.023356448450278677
74,0.622,0.67895,0.02651712455634742,0.023987880711989342
73,0.6235999999999999,0.67775,0.027124275396579262,0.022906847976326323
75,0.6317999999999999,0.67725,0.03280981881276269,0.027310832630063977
